datatypes(),,,,,,
,,,,,,
,boolean,boolean,string,string,array,array
,TRUE,FALSE,initialize,access,initialize,accesss
language,,,,,,
javascript,"""true""","""false""","""<string>""",,[<elements>],array[index]
,,,<string>',,,
,,,`<string>`,,,
nodejs,"""true""","""false""","""<string>""",,[<elements>],array[index]
,,,<string>',,,
,,,`<string>`,,,
python,"""True""","""False""","""<string>""",,[<elements>],array[index]
,,,<string>',,,
php,"""true""","""false""","""<string>""",,array(<elements>),array[index]
,,,<string>',,,
,,,<<<<string>,,,
,,,<<<'EOT' <string> EOT;,,,
ruby,"""true""","""false""","""<string>""",,Array(<elements>),array[index]
perl,,,"""<string>""",,(<elements>),array[index]
,,,<string>',,qw/<elements>/,
,,,q//<string>/,,,
,,,qq//<string>/,,,
lua,,,"""<string>""",,{<elements>},array[index]
,,,<string>',,,
r,"""true""","""false""","""<string>""",,array(<elements>),array[<indexes>]
,,,<string>',,,
lisp,,,"""<string>""",,,
kotlin,"""true""","""false""","""<string>""",,arrayOf<type>(<elements>),array[index]
swift,"""true""","""false""","""<string>""",,[<elements>],array[index]
go,"""true""","""false""","""<string>""",,[size]<type>{<elements>},array[index]
java,"""true""","""false""", ,,{ <elements> },array[index]
c++,"""true""","""false""","""<string>""",,{ <elements> },array[index]
c,"""true""","""false""","""<string>""",,{ <elements> },array[index]
rust,"""true""","""false""","""<string>""",,[ <elements> ],array[index]
fortan,,,"""<string>""",,(/<elements>/),array(index)
x86,,,,,,
arm32,,,,,,
arm64,,,,,,
wasm,,,,,,
,,,,,,
datatypes(),,,,,,
,number,number,number,number,number,
,,,,,,
,type,bits,value range low,value range high,decimal precision,
language,,,,,,
javascript,number,64,-9.0072E+15,9007199254740991,16,
nodejs,number,64,-9.0072E+15,9007199254740991,16,
python,int,,,,0,
,float,,,,,
,complex,,,,,
php,int,64,-9.22337E+18,9223372036854775807,0,
,floats,,,,14,
,Infinity,,,,,
,NaN,,,,,
ruby,int,,,,,
,float,,,,,
perl,int,,,,,
,,,,,,
lua,float,,,,,
r,int,,,,,
,double,,,,,
lisp,,,,,,
kotlin,,,,,,
swift,,,,,,
go,,,,,,
java,,,,,,
c++,char,8,-127,127,,
,unsigned char,8,0,255,,
,signed char,8,-127,127,,
,int,32,-2147483648,2147483647,,
,unsigned int,32,0,4294967295,,
,signed int,32,-2147483648,2147483647,,
,short int,16,-32768,32767,,
,unsigned short int,16,0,65535,,
,signed short int,16,-32768,32767,,
,long int,64,-2147483648,2147483647,,
,signed long int,64,-2147483648,2147483647,,
,unsigned long int,64,0,4294967295,,
,long long int,64,-(2**63),(2**63)-1,,
,unsigned long long int,64,0,18446744073709551615,,
,float,32,,,,
,double,64,,,,
,long double,96,,,,
,wchar_t,16,,,,
c,char,8,-128,127,0,
,unsigned char,8,0,255,0,
,signed char,8,-128,127,0,
,int,"[16,32]",-32768,32767,0,
,unsigned int,"[16,32]",0,65535,0,
,short,16,32768,32767,0,
,unsigned short,16,0,65535,0,
,long,64,-9.22337E+18,9223372036854775807,0,
,unsigned long,64,0,18446744073709551615,0,
,float,32,1.20E-38,3.40E+38,6,
,double,64,2.30E-308,1.70E+308,15,
,long double,80,"""3.4E-4932""",1.1E+4932,19,
,,,,,,
rust,,,,,,
fortan,,,,,,
x86,,,,,,
arm32,,,,,,
arm64,,,,,,
wasm,,,,,,
