operators(),,,,,,,,,,
,arithmetic,arithmetic,arithmetic,arithmetic,arithmetic,arithmetic,arithmetic,arithmetic,,
,addition,subtraction,multiplication,division,exponentation,modulus,pre increment,pre decrement,division floor,
language,,,,,,,,,,
javascript,a + b,a - b,a * b,a / b,a ** b,a % b,\++a\,\--a\,(x / y) >> 0,
nodejs,a + b,a - b,a * b,a / b,a ** b,a % b,\++a\,\--a\,(x / y) >> 0,
python,a + b,a - b,a * b,a / b,a ** b,a % b,a += 1,a -= 1,x // y,
php,a + b,a - b,a * b,a / b,a ** b,a % b,\++a\,\--a\,,
ruby,a + b,a - b,a * b,a / b,a ** b,a % b,a += 1,a -= 1,,
perl,a + b,a - b,a * b,a / b,a ** b,a % b,\++a\,\--a\,,
lua,,,,,,,,,,
r,,,,,,,,,,
lisp,,,,,,,,,,
kotlin,,,,,,,,,,
swift,,,,,,,,,,
go,,,,,,,,,,
java,,,,,,,,,,
c++,,,,,,,,,,
c,,,,,,,,,,
rust,,,,,,,,,,
fortan,,,,,,,,,,
x86,,,,,,,,,,
arm32,,,,,,,,,,
arm64,,,,,,,,,,
wasm,,,,,,,,,,
,,,,,,,,,,
operators(),,,,,,,,,,
,assigment,assignment,assignment,assignment,assignment,assignment,assignment,assignment,,
,set,adddition,subtract,multiplication,division,division floor,modulus,exponentation,,
language,,,,,,,,,,
javascript,x = y,x += y,x -= y,x *= y,x /= y,x = (x / (y >> 0)),x %= y,x **= y,,
nodejs,x = y,x += y,x -= y,x *= y,x /= y,x = (x / (y >> 0)),x %= y,x **= y,,
python,x = y,x += y,x -= y,x *= y,x /= y,x //= y,x %= y,x **= y,,
php,x = y,x += y,x -= y,x *= y,x /= y,,x %= y,,,
ruby,x = y,x += y,x -= y,x *= y,x /= y,,x %= y,x **= y,,
perl,x = y,x += y,x -= y,x *= y,x /= y,,x %= y,x **= y,,
lua,,,,,,,,,,
r,,,,,,,,,,
lisp,,,,,,,,,,
kotlin,,,,,,,,,,
swift,,,,,,,,,,
go,,,,,,,,,,
java,,,,,,,,,,
c++,,,,,,,,,,
c,,,,,,,,,,
rust,,,,,,,,,,
fortan,,,,,,,,,,
x86,,,,,,,,,,
arm32,,,,,,,,,,
arm64,,,,,,,,,,
wasm,,,,,,,,,,
,,,,,,,,,,
operators(),,,,,,,,,,
,assignment,assignment,assignment,assignment,assignment,assignment,,,,
,AND,OR,XOR,right shift,left shift,parallel,,,,
language,,,,,,,,,,
javascript,x &= y,x |= y,x ^= y,x >>= y,x <<= y,,,,,
nodejs,x &= y,x |= y,x ^= y,x >>= y,x <<= y,,,,,
python,x &= y,x |= y,x ^= y,x >>= y,x <<= y,,,,,
php,,,,,,,,,,
ruby,,,,,,,,,,
perl,,,,,,,,,,
lua,,,,,,,,,,
r,,,,,,,,,,
lisp,,,,,,,,,,
kotlin,,,,,,,,,,
swift,,,,,,,,,,
go,,,,,,,,,,
java,,,,,,,,,,
c++,,,,,,,,,,
c,,,,,,,,,,
rust,,,,,,,,,,
fortan,,,,,,,,,,
x86,,,,,,,,,,
arm32,,,,,,,,,,
arm64,,,,,,,,,,
wasm,,,,,,,,,,
,,,,,,,,,,
operators(),,,,,,,,,,
,comparison,comparison,comparison,comparison,comparison,comparison,comparison,comparison,comparison,comparison
,equal to,.eqls?,equal value and type,not equal to,not equal to value and type,greater than,less than,greather than equal,less than equal,spaceship
language,,,,,,,,,,
javascript,x == y,,x === y,x != y,x !== y,x > y,x < y,x >= y,x <= y,
nodejs,x == y,,x === y,x != y,x !== y,x > y,x < y,x >= y,x <= y,
python,x == y,,x == y,,x != y,x > y,x < y,x >= y,x <= y,
php,,,x === y,x != y,x !== y,x > y,x < y,x >= y,x <= y,x <=> y
,,,,x <> y,,,,,,
