statements(),,,,,,,
,,,,,,,
,if,,if - else,,if-else-if-else,,if-chain
language,,,,,,,
javascript,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
nodejs,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
python,"if <condition>: 
    <then>",,"if <condition[0]>: 
    <then[0]>
else: 
    <then[1]>",,"if <condition[0]>: 
    <then[0]>
elif <condition[1]>: 
    <then[1]>
else:
    <then[2]>",,
php,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
ruby,"if <condition>
    <then>",,"if <condition[0]>
    <then[0]>
else <then[1]>    ",,"if <condition[0]>
    <then[0]>
elsif <condition[1]
    <then[1]> 
else
    <then[2]>",,
perl,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
lua,if <condition> then <then> end,,"if <condition[0]> then <then[0]> 
elsif <condition[1]> then <then[1]>
end",,"if <condition[0]> then <then[0]> 
elsif <condition[1]> then <then[1]>
else <then[2]>
end",,
r,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
lisp,,,,,,,
kotlin,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition>) { <then[0]> }
else if (<condition>) { <then[1]> }
else { <then[2]> }",,
swift,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
go,if <condition> { <then> },,"if <condition[0]> { <then[0]> }
else { <then[1]> }",,"if <condition[0]> { <then[0]> }
else if <condition[1]> { then[1] }
else { <then[2]> }",,
java,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
c++,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
c,if (<condition>) { <then> },,"if (<condition[0]>) { <then[0]> }
else { <then[1]> }",,"if (<condition[0]>) { <then[0]> }
else if (<condition[1]>) { <then[1]> }
else { <then[2]> }",,
